prog;bloco;planta;alt
1;1;1;1.3
1;1;2;1.5
1;1;3;1.55
1;1;4;1.7
1;1;5;1.4
1;2;1;1.35
1;2;2;1.6
1;2;3;1.25
1;2;4;1.3
1;2;5;1.45
2;1;1;1.3
2;1;2;1.3
2;1;3;1.3
2;1;4;1.5
2;1;5;1.4
2;2;1;1.2
2;2;2;1.35
2;2;3;1.45
2;2;4;1.5
2;2;5;1.35
3;1;1;1.8
3;1;2;1.75
3;1;3;2
3;1;4;1.6
3;1;5;1.5
3;2;1;1.55
3;2;2;1.5
3;2;3;1.45
3;2;4;1.5
3;2;5;1.45
4;1;1;1.4
4;1;2;1.5
4;1;3;1.75
4;1;4;1.6
4;1;5;1.55
4;2;1;1.85
4;2;2;1.55
4;2;3;1.75
4;2;4;1.5
4;2;5;1.65
5;1;1;1.2
5;1;2;1.2
5;1;3;1.25
5;1;4;1.45
5;1;5;1.6
5;2;1;1.25
5;2;2;1.5
5;2;3;1.5
5;2;4;1.65
5;2;5;1.3
6;1;1;1.55
6;1;2;1.5
6;1;3;1.65
6;1;4;1.55
6;1;5;1.7
6;2;1;1.6
6;2;2;1.5
6;2;3;1.6
6;2;4;1.65
6;2;5;1.95
7;1;1;1.3
7;1;2;1.15
7;1;3;1.3
7;1;4;1.6
7;1;5;1.6
7;2;1;1.6
7;2;2;1.9
7;2;3;1.55
7;2;4;1.9
7;2;5;1.8
8;1;1;1.7
8;1;2;1.3
8;1;3;1.8
8;1;4;1.6
8;1;5;1.7
8;2;1;1.3
8;2;2;1.3
8;2;3;1.55
8;2;4;1.4
8;2;5;1.45
9;1;1;2.1
9;1;2;2.1
9;1;3;2.1
9;1;4;1.85
9;1;5;1.7
9;2;1;1.9
9;2;2;1.9
9;2;3;1.75
9;2;4;1.85
9;2;5;2.05
10;1;1;1.55
10;1;2;1.55
10;1;3;1.3
10;1;4;1.6
10;1;5;1.4
10;2;1;1.5
10;2;2;1.35
10;2;3;1.35
10;2;4;1.45
10;2;5;1.25
11;1;1;1.75
11;1;2;1.55
11;1;3;1.65
11;1;4;1.7
11;1;5;1.5
11;2;1;1.65
11;2;2;1.85
11;2;3;1.75
11;2;4;1.65
11;2;5;1.6
12;1;1;1.35
12;1;2;1.6
12;1;3;1.25
12;1;4;1.4
12;1;5;1.45
12;2;1;1.65
12;2;2;1.35
12;2;3;1.25
12;2;4;1.45
12;2;5;1.65
13;1;1;1.85
13;1;2;1.95
13;1;3;1.95
13;1;4;1.6
13;1;5;1.5
13;2;1;1.75
13;2;2;1.95
13;2;3;1.85
13;2;4;1.8
13;2;5;1.85
14;1;1;1.6
14;1;2;1.4
14;1;3;1.7
14;1;4;1.5
14;1;5;1.3
14;2;1;1.75
14;2;2;1.4
14;2;3;1.5
14;2;4;1.5
14;2;5;1.45
