rep;bloco;trat;prod
1;1;1;1.68
1;1;8;1.53
1;1;15;1.74
1;1;22;1.04
1;1;29;1.74
1;2;2;1.24
1;2;9;0.88
1;2;16;0.74
1;2;23;1.35
1;2;30;1.37
1;3;3;0.91
1;3;10;0.61
1;3;17;0.63
1;3;24;0.4
1;3;31;0.77
1;4;4;0.76
1;4;11;0.75
1;4;18;1.91
1;4;25;0.72
1;4;32;0.45
1;5;5;0.81
1;5;12;1.87
1;5;19;0.79
1;5;26;0.68
1;5;33;0.85
1;6;6;0.6
1;6;13;0.7
1;6;20;0.74
1;6;27;0.87
1;6;34;0.88
1;7;7;0.82
1;7;14;1.08
1;7;21;0.6
1;7;28;0.89
1;7;35;0.73
2;1;1;1.86
2;1;9;1.1
2;1;17;1.93
2;1;25;0.92
2;1;33;0.73
2;2;2;1.2
2;2;10;0.81
2;2;18;0.91
2;2;26;1.01
2;2;34;1.04
2;3;3;0.89
2;3;11;0.87
2;3;19;0.94
2;3;27;0.78
2;3;35;0.74
2;4;4;0.85
2;4;12;1.83
2;4;20;0.94
2;4;28;1.58
2;4;29;0.79
2;5;5;1.09
2;5;13;1.12
2;5;21;1.09
2;5;22;1.09
2;5;30;1.08
2;6;6;1.28
2;6;14;0.94
2;6;15;1.74
2;6;23;1.44
2;6;31;1.11
2;7;7;1.16
2;7;8;1
2;7;16;1.16
2;7;24;1
2;7;32;1.18
3;1;1;1.68
3;1;10;0.61
3;1;21;0.58
3;1;27;0.49
3;1;32;0.45
3;2;2;1.84
3;2;11;1.35
3;2;15;1.84
3;2;28;1.59
3;2;33;1.45
3;3;3;0.96
3;3;12;1.87
3;3;16;0.74
3;3;22;1
3;3;34;0.8
3;4;4;0.7
3;4;13;0.68
3;4;17;0.8
3;4;23;1.2
3;4;35;0.7
3;5;5;0.8
3;5;14;1.1
3;5;18;0.52
3;5;24;0.48
3;5;29;0.7
3;6;6;0.64
3;6;8;1.1
3;6;19;0.8
3;6;25;0.8
3;6;30;0.94
3;7;7;0.84
3;7;9;0.76
3;7;20;0.74
3;7;26;0.68
3;7;31;1.4
