local;bloco;trat;prod
1;1;Tracy;1307
1;1;Centennial;1425
1;1;Bragg;1289
1;1;N3058;1250
1;1;N3148;1546
1;1;N877;1344
1;1;N882;1280
1;1;N12;911
1;2;Tracy;1365
1;2;Centennial;1475
1;2;Bragg;1671
1;2;N3058;1202
1;2;N3148;1489
1;2;N877;1197
1;2;N882;1260
1;2;N12;1202
1;3;Tracy;1542
1;3;Centennial;1276
1;3;Bragg;1420
1;3;N3058;1407
1;3;N3148;1724
1;3;N877;1319
1;3;N882;1605
1;3;N12;1012
2;1;Tracy;1178
2;1;Centennial;1187
2;1;Bragg;1451
2;1;D137;1388
2;1;D81;1254
2;1;D7741;1179
2;1;D693;1345
2;1;D1102;1136
2;2;Tracy;1089
2;2;Centennial;1180
2;2;Bragg;1177
2;2;D137;1214
2;2;D81;1249
2;2;D7741;1247
2;2;D693;1265
2;2;D1102;1161
2;3;Tracy;960
2;3;Centennial;1235
2;3;Bragg;1723
2;3;D137;1222
2;3;D81;1135
2;3;D7741;1096
2;3;D693;1178
2;3;D1102;1004
3;1;Tracy;1583
3;1;Centennial;1713
3;1;Bragg;1396
3;1;R79;1547
3;1;R19;1422
3;1;R101;1800
3;1;R35;1673
3;1;R68;1464
3;2;Tracy;1841
3;2;Centennial;1684
3;2;Bragg;1608
3;2;R79;1647
3;2;R19;1393
3;2;R101;1787
3;2;R35;1507
3;2;R68;1607
3;3;Tracy;1464
3;3;Centennial;1378
3;3;Bragg;1647
3;3;R79;1603
3;3;R19;1342
3;3;R101;1520
3;3;R35;1390
3;3;R68;1642
