bloco	tipo	trat	prod
1	teste	26	7.5
1	teste	27	8.2
1	teste	28	9.4
1	teste	29	6.8
1	TR	1	8.1
1	TR	2	4.2
1	TR	3	7.4
1	TR	4	9.3
1	TR	5	8.9
1	TR	6	7.5
2	teste	26	7
2	teste	27	8.8
2	teste	28	8.5
2	teste	29	7.5
2	TR	7	6
2	TR	8	7
2	TR	9	5.8
2	TR	10	4.9
2	TR	11	6
2	TR	12	9.2
3	teste	26	8.1
3	teste	27	8.5
3	teste	28	8.3
3	teste	29	7.5
3	TR	13	8.4
3	TR	14	9.8
3	TR	15	5.8
3	TR	16	6.7
3	TR	17	6.2
4	teste	26	7.3
4	teste	27	7.8
4	teste	28	7.5
4	teste	29	7
4	TR	18	6.5
4	TR	19	8.4
4	TR	20	7.1
4	TR	21	6.3
5	teste	26	7.9
5	teste	27	8.2
5	teste	28	8.8
5	teste	29	7.5
5	TR	22	8.4
5	TR	23	6.4
5	TR	24	8.3
5	TR	25	5.8
