trt	block	type	y
1	2	trt	4555.637613
2	2	trt	252.3761282
3	1	trt	7770.627016
4	2	trt	3559.227098
5	1	trt	5374.332087
6	1	trt	2436.492677
7	2	trt	6030.654502
8	1	trt	4952.061946
9	2	trt	7629.617291
10	1	trt	6430.402278
11	1	trt	7523.163722
12	1	trt	2460.846916
13	2	trt	6953.809738
14	2	trt	5329.603801
15	1	trt	4732.080255
16	1	trt	5006.231441
17	1	trt	4259.32692
18	1	trt	5181.503159
19	1	trt	4789.066106
20	2	trt	4830.476005
21	2	trt	6033.919834
22	1	trt	2922.679589
23	2	trt	2985.084551
24	2	trt	5196.181682
25	1	trt	3880.325587
26	1	trt	5413.032537
27	1	trt	4154.89679
28	2	trt	6916.294575
29	1	trt	4179.383515
30	2	trt	5679.720559
31	2	trt	7258.15424
32	2	trt	2810.785362
33	2	trt	6150.24742
34	1	trt	4117.830347
35	2	trt	4578.173379
36	1	trt	2035.219813
37	2	trt	5994.262364
38	2	trt	3739.793188
39	2	trt	3995.356095
40	1	trt	6199.400631
41	1	check	6063.784817
41	2	check	8201.699515
42	1	check	3068.965646
42	2	check	2623.657043
43	1	check	664.8400226
43	2	check	4481.588104
44	1	check	3699.560013
44	2	check	3997.167261
45	1	check	3095.159113
45	2	check	8519.724719
46	1	check	481.1263534
46	2	check	3043.721032
47	1	check	485.92853
47	2	check	3170.728476
48	1	check	4852.104834
48	2	check	2228.977224
49	1	check	103.0138947
49	2	check	3684.12274
50	1	check	5362.984993
50	2	check	5118.021919
