bloco;trat;prod;tipo
1;T1;2972;test
1;14;2405;trat
1;26;2855;trat
1;T2;2592;test
1;17;2572;trat
1;T3;2608;test
1;22;2705;trat
1;13;2391;trat
2;T1;3122;test
2;T2;3023;test
2;4;3018;trat
2;15;2477;trat
2;30;2955;trat
2;3;3055;trat
2;T3;2477;test
2;24;2783;trat
3;T1;2260;test
3;18;2603;trat
3;27;2857;trat
3;T2;2918;test
3;25;2825;trat
3;28;1903;trat
3;5;2065;trat
3;T3;3107;test
4;T1;3348;test
4;9;2268;trat
4;6;2148;trat
4;T2;2940;test
4;T3;2850;test
4;20;2670;trat
4;11;3380;trat
4;23;2770;trat
5;T1;1315;test
5;2;1055;trat
5;21;1688;trat
5;T3;1625;test
5;T2;1398;test
5;10;1293;trat
5;8;1253;trat
5;16;1495;trat
6;T1;3538;test
6;29;2915;trat
6;7;3265;trat
6;T2;3483;test
6;1;3013;trat
6;T3;3400;test
6;12;2385;trat
6;19;3643;trat
