local	bloco	linhagem	producao
1	1	1	1000
1	1	2	800
1	1	3	700
1	1	4	920
1	1	5	820
1	1	6	980
1	1	7	1020
1	1	8	600
1	1	9	620
1	1	10	930
1	2	1	1090
1	2	2	940
1	2	3	700
1	2	4	1040
1	2	5	800
1	2	6	870
1	2	7	1000
1	2	8	600
1	2	9	600
1	2	10	900
1	3	1	1050
1	3	2	800
1	3	3	800
1	3	4	800
1	3	5	890
1	3	6	1050
1	3	7	800
1	3	8	700
1	3	9	610
1	3	10	900
2	1	1	470
2	1	2	460
2	1	3	500
2	1	4	200
2	1	5	120
2	1	6	200
2	1	7	590
2	1	8	300
2	1	9	300
2	1	10	200
2	2	1	500
2	2	2	600
2	2	3	470
2	2	4	280
2	2	5	320
2	2	6	290
2	2	7	570
2	2	8	360
2	2	9	340
2	2	10	260
2	3	1	500
2	3	2	500
2	3	3	580
2	3	4	300
2	3	5	330
2	3	6	240
2	3	7	500
2	3	8	300
2	3	9	320
2	3	10	280
