trat;safra;rep;bloco;prod
1;I;1;1;5827
2;I;1;1;5870
3;I;1;1;4150
4;I;1;1;4365
5;I;1;2;5977
6;I;1;2;6149
7;I;1;2;3763
8;I;1;2;2462
9;I;1;3;3225
10;I;1;3;5676
11;I;1;3;4859
12;I;1;3;6128
13;I;1;4;6429
14;I;1;4;3440
15;I;1;4;4515
16;I;1;4;3956
1;I;2;1;7654
5;I;2;1;5784
9;I;2;1;5117
13;I;2;1;4300
2;I;2;2;3612
6;I;2;2;6085
10;I;2;2;4214
14;I;2;2;3655
3;I;2;3;5956
7;I;2;3;5074
11;I;2;3;7654
15;I;2;3;5784
4;I;2;4;5655
8;I;2;4;4236
12;I;2;4;5160
16;I;2;4;2107
1;I;3;1;5096
6;I;3;1;5827
11;I;3;1;7138
16;I;3;1;6601
2;I;3;2;7719
5;I;3;2;6149
12;I;3;2;4064
15;I;3;2;4924
3;I;3;3;6257
8;I;3;3;6450
9;I;3;3;5655
14;I;3;3;6192
4;I;3;4;1484
7;I;3;4;4838
10;I;3;4;5225
13;I;3;4;6923
1;I;4;1;6408
7;I;4;1;6988
12;I;4;1;4924
14;I;4;1;5311
2;I;4;2;7095
8;I;4;2;4773
11;I;4;2;9826
13;I;4;2;5891
3;I;4;3;4472
5;I;4;3;5031
10;I;4;3;6128
16;I;4;3;4580
4;I;4;4;5182
6;I;4;4;7418
9;I;4;4;8708
15;I;4;4;5934
1;II;1;1;2300
2;II;1;1;3950
3;II;1;1;3975
4;II;1;1;5750
5;II;1;2;5200
6;II;1;2;2550
7;II;1;2;2050
8;II;1;2;2550
9;II;1;3;1150
10;II;1;3;3550
11;II;1;3;4050
12;II;1;3;3250
13;II;1;4;6200
14;II;1;4;2600
15;II;1;4;1975
16;II;1;4;2200
1;II;2;1;2275
5;II;2;1;4600
9;II;2;1;1437
13;II;2;1;6000
2;II;2;2;3125
6;II;2;2;2575
10;II;2;2;3175
14;II;2;2;1125
3;II;2;3;2000
7;II;2;3;3725
11;II;2;3;4475
15;II;2;3;2325
4;II;2;4;3750
8;II;2;4;4850
12;II;2;4;1550
16;II;2;4;2475
1;II;3;1;3000
6;II;3;1;3400
11;II;3;1;2125
16;II;3;1;5250
2;II;3;2;4100
5;II;3;2;2575
12;II;3;2;2125
15;II;3;2;1925
3;II;3;3;3825
8;II;3;3;4125
9;II;3;3;1725
14;II;3;3;3475
4;II;3;4;3425
7;II;3;4;1700
10;II;3;4;1850
13;II;3;4;4900
1;II;4;1;2425
7;II;4;1;3050
12;II;4;1;2475
14;II;4;1;3775
2;II;4;2;6900
8;II;4;2;4100
11;II;4;2;4225
13;II;4;2;5325
3;II;4;3;3250
5;II;4;3;5050
10;II;4;3;1675
16;II;4;3;2025
4;II;4;4;4400
6;II;4;4;1275
9;II;4;4;1625
15;II;4;4;5850
