Tratamento	Bloco	Producao	Estande
1	1	8268	20
2	1	7170	20
3	1	10646	20
4	1	4211	18
5	1	5357	20
6	1	5589	18
7	1	6040	21
8	1	7006	19
9	1	7445	20
10	1	7392	20
11	1	6752	20
12	1	4520	20
1	2	4557	16
2	2	7207	20
3	2	6469	20
4	2	5430	20
5	2	5703	20
6	2	5128	20
7	2	7243	20
8	2	7956	20
9	2	8059	20
10	2	6464	20
11	2	5670	18
12	2	7194	21
1	3	6249	20
2	3	7663	14
3	3	9732	23
4	3	5166	20
5	3	5545	19
6	3	6027	20
7	3	7561	19
8	3	6826	19
9	3	8690	21
10	3	6063	20
11	3	6410	19
12	3	7336	21
